secteur,nb_offres,pct,rang
Administration / Gestion,2640,17.8,1
Commercial / Vente,1764,11.9,2
Informatique / Tech,1721,11.6,3
Finance / Comptabilité,1107,7.5,4
Marketing / Communication,833,5.6,5
Ressources Humaines,759,5.1,6
Logistique / Transport,632,4.3,7
Ingénierie / BTP,537,3.6,8
Éducation / Formation,323,2.2,9
Santé / Médical,205,1.4,10
Hôtellerie / Restauration,164,1.1,11
Droit / Juridique,98,0.7,12
Banque / Assurance,79,0.5,13
Agriculture / Environnement,78,0.5,14
ONG / Humanitaire,61,0.4,15
